Number of unique subjects: 627259,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69],[70],[71],[72],[73],[74],[75],[76],[77],[78],[79],[80],[81],[82],[83],[84],[85],[86],[87],[88],[89],[90],[91],[92],[93],[94],[95],[96],[97],[98],[99],[100],[101],[102],[103],[104],[105],[106],[107],[108],[109],[110],[111],[112],[113],[114],[115],[116],[117],[118],[119],[120],[121],[122],[123],[124],[125],[126],[127],[128],[129],[130],[131],[132],[133],[134],[135],[136],[137],[138],[139],[140],[141],[142],[143],[144],[145],[146],[147],[148],[149],[150],[151],[152],[153],[154],[155],[156],[157],[158],[159],[160],[161],[162],[163],[164],[165],[166],[167],[168],[169],[170],[171],[172],[173],[174],[175],[176],[177],[178],[179],[180],[181],[182],[183],[184],[185],[186],[187],[188],[189],[190],[191],[192]
[27] http://education.data.gov.uk/def/school/PTGirls4b,2566,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2208,2222,2245,2196,2265,2297,2336,2417,2291,2445,2219,2333,1952,1811,1847,2211,2221,2217,2232,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2196,2236,2271,2273,2278,2258,2294,2412,2206,2436,2164,2306,1878,1725,1741,2182,2226,2207,2204,2231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2410,2367,2434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2566,2566,1190,0,2122,0,2301,2299,0,0,0,0,0,0,0,0,2561,0,0,0,0,0,2566,0,0,0,0,0,0,0,0,0
[28] http://education.data.gov.uk/def/school/PTGirls4c,2563,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2205,2219,2243,2194,2262,2293,2333,2414,2288,2442,2219,2331,1951,1809,1847,2209,2218,2215,2230,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2193,2235,2269,2269,2274,2255,2291,2409,2203,2434,2163,2304,1879,1725,1742,2181,2224,2205,2201,2229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2407,2364,2431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2563,2563,1188,0,2121,0,2298,2296,0,0,0,0,0,0,0,0,2560,0,0,0,0,0,2563,0,0,0,0,0,0,0,0,0
[29] http://education.data.gov.uk/def/school/SCUAlternativeEmail,12596,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12135,631,154,636,3099,592,625,654,163,12593,0,0,0,12480,2041,55,377,138,12311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11784,11069,12514,12585,413,867,632,10,649,371,650,1,204,3320,12524,37,544,143,427,12596,12578,12596,109,29,95,12317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,12526,144,199,591,54,627,12596,12596,694,12596,195,583,1727,11399,601,313,0,0,0,9540,2080,11415,12346,1677,12517,10973,124,0,2634,5328,623,862,738,0,21,11961,11203,319,732,11021,12039,12312,12311,11785,24,0,0,0,711,0,707,0,0,0,66,66,12596,12596,12549,12593,6314,0,0,0,0,0,0,12596,12596,0,12510,12510,0,0,0,0,0
[30] http://education.data.gov.uk/def/school/SCUpreferredemail,27158,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2083,486,2094,6730,1940,2056,2158,521,27145,0,0,0,26841,4364,131,1117,278,26769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25146,22882,26906,27073,1243,2493,2086,13,2135,1088,2139,2,667,6882,26960,50,1235,465,1030,27158,27091,27158,212,55,365,26833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,26948,474,734,1946,140,1977,27158,27158,1403,27158,724,1945,3125,24640,1971,925,0,0,0,20765,4155,23777,26871,4839,26924,22588,401,0,5613,11055,2061,2466,2124,0,66,25625,24195,567,1738,23672,25398,26817,26805,25148,75,0,0,0,2286,0,2263,0,0,0,162,163,27158,27158,26960,27145,11673,0,0,0,0,0,0,27158,27158,0,26864,26864,0,0,0,0,0
[31] http://education.data.gov.uk/def/school/SENNoStat,2535,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2531,1578,2313,2363,2484,580,2535,0,0,0,2498,1187,75,1247,1,2531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2105,427,2518,2535,1442,380,2466,15,2482,1220,2462,7,740,0,2529,0,0,0,0,2535,2535,2535,2,0,0,2535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2535,0,853,2249,164,2234,2535,2535,0,2535,839,2245,0,2124,2267,894,0,0,0,2264,227,15,2533,2523,2529,0,0,0,812,828,2441,373,449,0,1,1391,2506,0,374,2117,2123,2533,2518,2104,0,0,0,0,2531,0,2525,0,0,0,0,0,2535,2535,2529,2535,345,0,0,0,0,0,0,2535,2535,0,2531,2531,0,0,0,0,0
[32] http://education.data.gov.uk/def/school/SENPRU,580,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,382,0,1,1,0,580,0,0,0,573,3,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,257,573,555,0,182,0,0,1,0,1,0,0,0,577,1,2,549,3,580,580,580,0,1,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,563,559,0,1,0,1,580,580,1,580,0,1,3,398,1,8,0,0,0,58,70,473,555,430,574,9,466,0,44,79,1,144,300,0,0,540,94,2,12,73,272,573,574,272,81,0,0,0,1,0,1,0,0,0,0,0,580,580,574,580,33,0,0,0,0,0,0,580,580,0,551,551,0,0,0,0,0
[33] http://education.data.gov.uk/def/school/SENStat,2560,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1593,2314,2387,2509,581,2560,0,0,0,2519,1193,76,1248,1,2555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2105,427,2539,2560,1446,381,2488,15,2501,1220,2487,7,740,0,2554,0,0,0,0,2560,2560,2560,2,0,0,2559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2559,0,861,2266,165,2259,2560,2560,0,2560,846,2260,0,2138,2287,908,0,0,0,2287,229,15,2552,2548,2551,0,0,0,812,828,2449,374,474,0,1,1411,2531,0,397,2137,2126,2558,2543,2104,0,0,0,0,2556,0,2543,0,0,0,0,0,2560,2560,2551,2560,345,0,0,0,0,0,0,2560,2560,0,2550,2550,0,0,0,0,0
[34] http://education.data.gov.uk/def/school/UKPRN,7654,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1407,1647,1736,553,7651,0,0,0,7590,3852,136,884,121,7251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6091,4639,7614,7559,1050,506,1596,12,1695,864,1709,7,678,552,7644,1,246,363,170,7654,7521,7654,161,25,388,7279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,7588,374,692,1415,130,1653,7654,7654,1339,7654,682,1413,3144,6489,1536,751,0,0,0,1976,3888,4770,7224,2728,7626,4036,307,0,1514,2574,1587,499,1150,0,1,6364,5466,570,1417,5843,6465,7154,7147,6093,65,0,0,0,1834,0,1788,0,0,0,129,129,7654,7654,7626,7651,3171,0,0,0,0,0,0,7654,7654,0,7535,7535,0,0,0,0,0
[35] http://education.data.gov.uk/def/school/accomChange,2321,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2168,2277,569,2321,0,0,0,2287,1161,67,1239,1,2320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2098,426,2305,2321,1407,343,2309,13,2281,1214,2252,7,727,0,2316,0,0,0,0,2321,2321,2321,1,0,0,2321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2321,0,800,2131,161,2054,2321,2321,0,2321,788,2125,0,1941,2102,788,0,0,0,2081,223,14,2321,2310,2316,0,0,0,811,823,2262,336,241,0,1,1185,2316,0,242,1968,2102,2319,2307,2098,0,0,0,0,2317,0,2317,0,0,0,0,0,2321,2321,2316,2321,336,0,0,0,0,0,0,2321,2321,0,2320,2320,0,0,0,0,0
[36] http://education.data.gov.uk/def/school/actionFP,2640,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2627,558,2640,0,0,0,2586,1210,69,1190,1,2627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,405,2606,2600,1412,381,2415,15,2551,1163,2569,6,703,0,2634,0,0,0,1,2640,2640,2640,6,0,0,2638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2613,0,844,2224,156,2314,2640,2640,15,2640,835,2219,0,2133,2295,937,0,0,0,2369,245,38,2576,2624,2616,0,0,0,761,778,2360,367,654,0,1,1516,2570,0,482,2170,2024,2637,2623,2004,0,0,0,0,2547,0,2489,0,0,0,0,0,2640,2640,2616,2640,341,0,0,0,0,0,0,2640,2640,0,2572,2572,0,0,0,0,0
[37] http://education.data.gov.uk/def/school/actionGEN,2772,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,589,2772,0,0,0,2715,1268,77,1252,1,2758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101,427,2735,2719,1484,387,2532,15,2675,1223,2702,7,742,0,2766,0,0,0,1,2772,2772,2772,6,0,0,2771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2735,0,891,2328,164,2436,2772,2772,14,2772,881,2326,0,2238,2420,994,0,0,0,2487,255,37,2694,2761,2748,0,0,0,811,830,2480,375,690,0,1,1589,2708,0,522,2283,2123,2770,2755,2100,0,0,0,0,2671,0,2610,0,0,0,0,0,2772,2772,2748,2772,359,0,0,0,0,0,0,2772,2772,0,2690,2690,0,0,0,0,0
[38] http://education.data.gov.uk/def/school/actionWEL,589,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,589,0,0,0,579,214,34,474,1,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,180,587,588,462,30,582,0,585,466,577,1,579,0,589,0,0,0,0,589,589,589,2,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,0,560,544,70,575,589,589,0,589,549,544,0,538,546,204,0,0,0,567,55,3,587,587,589,0,0,0,308,312,579,30,32,0,1,348,587,0,64,561,561,589,588,562,0,0,0,0,588,0,585,0,0,0,0,0,589,589,589,589,116,0,0,0,0,0,0,589,589,0,587,587,0,0,0,0,0
[39] http://education.data.gov.uk/def/school/address,131056,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,63498,5754,147,1254,292,57250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54846,28027,63631,65119,1495,8838,2583,15,2703,1224,2730,7,747,7068,64222,107,1390,554,1105,65528,36972,65528,215,57,425,34616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,63496,563,905,2359,165,2446,65528,65528,1420,65528,895,2357,3144,31438,2432,1273,0,0,0,23384,4707,25994,63073,12008,63664,29004,470,0,6337,12326,2521,3946,8718,0,22592,50047,25192,570,2059,27195,56947,34254,34205,54847,81,0,0,0,2865,0,2803,0,0,0,163,165,65528,65528,63800,65528,12021,0,0,0,0,0,0,65528,65528,0,64064,64064,0,0,0,0,0
[40] http://education.data.gov.uk/def/school/address1,130652,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85254,24172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129600,0,0,0,0,0,83586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[41] http://education.data.gov.uk/def/school/address2,85406,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84828,0,0,0,0,0,50238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[42] http://education.data.gov.uk/def/school/address3,24274,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24028,0,0,0,0,0,10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[43] http://education.data.gov.uk/def/school/administrativeWard,63498,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5693,143,1242,292,55678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53366,27942,63477,63148,1473,8702,2536,15,2655,1214,2675,7,731,7038,63498,105,1389,550,1104,63498,36053,63498,208,57,424,33802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,62132,558,887,2324,164,2396,63498,63498,1418,63498,877,2323,3135,31242,2387,1254,0,0,0,23239,4676,25891,61131,11443,63493,28854,465,0,6323,12302,2469,3871,8213,0,21720,49380,25034,569,2030,27066,55445,33577,33530,53367,80,0,0,0,2813,0,2761,0,0,0,163,165,63498,63498,63498,63498,11966,0,0,0,0,0,0,63498,63498,0,63093,63093,0,0,0,0,0
[44] http://education.data.gov.uk/def/school/admissionsPolicy,5755,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,483,81,5741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5406,3689,5708,5696,631,1705,1219,12,1238,470,1251,1,279,517,5719,0,222,0,158,5755,5753,5755,138,27,0,5739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5445,0,393,1118,87,1036,5755,5755,1420,5755,393,1108,2829,4967,1120,532,0,0,0,1238,3546,3412,5683,1671,5713,3616,1,0,1311,2057,1173,753,410,0,3,4862,4554,545,217,4741,5404,5735,5727,5406,0,0,0,0,1308,0,1285,0,0,0,112,112,5755,5755,5731,5754,2380,0,0,0,0,0,0,5755,5755,0,5647,5647,0,0,0,0,0
[45] http://education.data.gov.uk/def/school/approvedNumberBoardersSpecial,147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,2,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,40,146,146,18,8,75,0,77,3,78,0,64,1,147,0,1,0,0,147,147,147,2,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,61,46,0,75,147,147,0,147,61,47,12,120,70,37,0,0,0,85,5,66,146,99,147,2,0,0,44,54,71,8,35,0,0,87,91,0,140,145,126,147,147,113,0,0,0,0,131,0,130,0,0,0,0,0,147,147,147,147,40,0,0,0,0,0,0,147,147,0,146,146,0,0,0,0,0
[46] http://education.data.gov.uk/def/school/association,1254,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235,413,1250,1254,972,75,1247,0,1252,1210,1224,1,555,0,1254,0,0,0,0,1254,1254,1254,1,0,0,1254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1254,0,513,1224,66,1247,1254,1254,0,1254,508,1227,0,1169,1186,384,0,0,0,1203,83,2,1254,1247,1254,0,0,0,538,544,1233,76,29,0,1,687,1253,0,29,1228,1235,1254,1250,1235,0,0,0,0,1253,0,1253,0,0,0,0,0,1254,1254,1254,1254,256,0,0,0,0,0,0,1254,1254,0,1253,1253,0,0,0,0,0
[47] http://education.data.gov.uk/def/school/beacon,292,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,265,292,292,0,18,1,0,1,0,1,0,1,82,292,1,19,0,18,292,292,292,5,0,25,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,1,1,0,1,292,292,45,292,1,1,86,285,1,4,0,0,0,170,83,269,292,4,292,272,0,0,55,109,1,18,1,0,0,291,238,34,24,255,291,292,292,291,0,0,0,0,2,0,2,0,0,0,2,2,292,292,292,292,172,0,0,0,0,0,0,292,292,0,292,292,0,0,0,0,0
[48] http://education.data.gov.uk/def/school/boarders,58349,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55939,28860,55797,58223,1493,9764,2577,15,2693,1223,2719,7,747,7064,56321,107,1390,489,1105,58347,35429,58349,214,57,424,34228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,56098,494,904,2354,165,2441,58349,58349,1420,58349,893,2349,3141,32449,2427,1268,0,0,0,23287,4435,25970,58202,5805,55827,27790,405,0,6334,12320,2515,3876,2651,0,22645,50726,25043,570,2035,27135,56007,34031,33982,55940,74,0,0,0,2858,0,2798,0,0,0,163,165,58349,58349,55961,57250,11995,0,0,0,0,0,0,58349,58347,0,56499,56499,0,0,0,0,0
[49] http://education.data.gov.uk/def/school/boys10,64257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63023,63667,63603,63715,63786,63432,63810,62909,63860,63316,63413,58966,54746,57126,62833,62868,62793,63102,63243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62981,63149,63563,63488,63488,63489,63419,63820,62716,63831,63299,63403,58748,54319,56558,62679,62789,62752,62881,63003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63926,63755,63995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398,2398,1133,0,1943,0,2193,2183,0,0,0,0,0,0,0,0,24383,0,0,0,0,0,64257,0,0,0,0,0,0,0,0,0
[50] http://education.data.gov.uk/def/school/boys11,64595,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64111,64037,64128,64184,63816,64146,63193,64188,63626,63697,58748,54777,56967,62616,62627,62563,62880,63007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62794,63562,63946,63905,63880,63884,63776,64156,63009,64162,63607,63689,58557,54387,56427,62458,62542,62536,62669,62799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64260,64103,64333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2409,2409,1144,0,1968,0,2204,2195,0,0,0,0,0,0,0,0,24705,0,0,0,0,0,64595,0,0,0,0,0,0,0,0,0
[51] http://education.data.gov.uk/def/school/boys12,65313,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64813,64892,64941,64532,64866,63929,64914,64299,64381,59269,55134,57430,63263,63270,63190,63499,63624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63407,64174,64665,64656,64639,64627,64520,64878,63745,64879,64279,64365,59062,54738,56865,63112,63196,63159,63295,63410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64983,64829,65057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2435,2434,1154,0,1998,0,2233,2224,0,0,0,0,0,0,0,0,25410,0,0,0,0,0,65313,0,0,0,0,0,0,0,0,0
[52] http://education.data.gov.uk/def/school/boys13,65286,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64895,64946,64501,64853,63894,64880,64290,64350,59265,55148,57440,63242,63226,63158,63461,63571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63381,64128,64617,64628,64614,64606,64459,64830,63698,64855,64277,64344,59075,54762,56874,63095,63176,63149,63264,63382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64992,64827,65051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2381,2380,1131,0,1951,0,2168,2160,0,0,0,0,0,0,0,0,25406,0,0,0,0,0,65286,0,0,0,0,0,0,0,0,0
[53] http://education.data.gov.uk/def/school/boys14,65438,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65117,64661,65013,64046,65041,64420,64493,59369,55247,57551,63368,63365,63282,63587,63703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63510,64261,64708,64701,64749,64746,64619,65001,63858,65016,64409,64481,59171,54846,56976,63212,63300,63279,63392,63503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65138,64984,65195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2439,2438,1142,0,2030,0,2228,2221,0,0,0,0,0,0,0,0,25552,0,0,0,0,0,65438,0,0,0,0,0,0,0,0,0
[54] http://education.data.gov.uk/def/school/boys15,65523,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64744,65094,64125,65119,64505,64575,59453,55323,57622,63444,63436,63356,63670,63773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63578,64323,64768,64757,64786,64826,64698,65076,63940,65090,64486,64562,59262,54931,57059,63301,63377,63361,63468,63582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65247,65045,65295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2471,2470,1171,0,2054,0,2265,2259,0,0,0,0,0,0,0,0,25635,0,0,0,0,0,65523,0,0,0,0,0,0,0,0,0
[55] http://education.data.gov.uk/def/school/boys16,65190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64811,63839,64792,64184,64254,59152,55017,57321,63107,63110,63016,63316,63417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63254,64033,64443,64375,64420,64443,64566,64781,63630,64772,64164,64231,58931,54617,56748,62980,63058,63032,63150,63249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64852,64636,64922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2534,2533,1248,0,2087,0,2323,2313,0,0,0,0,0,0,0,0,25267,0,0,0,0,0,65190,0,0,0,0,0,0,0,0,0
